2025-09-18 20:59:22 | ZaaKy | development | zaaky.setup | INFO | logging_config.py:143 | Logging configuration initialized successfully
2025-09-18 20:59:22 | ZaaKy | development | zaaky.setup | INFO | logging_config.py:144 | Log file: logs/zaaky_20250918.log
2025-09-18 20:59:22 | ZaaKy | development | zaaky.setup | INFO | logging_config.py:145 | Log level: INFO
2025-09-18 20:59:22 | ZaaKy | development | zaaky.main | INFO | main.py:26 | Starting ZaaKy AI Platform...
2025-09-18 20:59:22 | ZaaKy | development | zaaky.main | INFO | main.py:41 | Configuration validated successfully
2025-09-18 20:59:22 | ZaaKy | development | zaaky.main | INFO | main.py:47 | Starting background worker...
2025-09-18 20:59:22 | ZaaKy | development | apscheduler.scheduler | INFO | base.py:507 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-09-18 20:59:22 | ZaaKy | development | apscheduler.scheduler | INFO | base.py:1090 | Added job "process_pending_uploads" to job store "default"
2025-09-18 20:59:22 | ZaaKy | development | apscheduler.scheduler | INFO | base.py:214 | Scheduler started
2025-09-18 20:59:22 | ZaaKy | development | zaaky.main | INFO | main.py:50 | ZaaKy AI Platform started successfully
2025-09-18 20:59:48 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/organizations?select=id&limit=1 "HTTP/2 200 OK"
2025-09-18 20:59:49 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/organizations?select=id&limit=1 "HTTP/2 200 OK"
2025-09-18 20:59:49 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/organizations?select=id&limit=1 "HTTP/2 200 OK"
2025-09-18 20:59:49 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/organizations?select=id&limit=1 "HTTP/2 200 OK"
2025-09-18 20:59:50 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/organizations?select=id&limit=1 "HTTP/2 200 OK"
2025-09-18 20:59:50 | ZaaKy | development | httpx | INFO | _client.py:1740 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/users?id=eq.09294a59-4100-4854-bca3-b23bbe390557 "HTTP/1.1 200 OK"
2025-09-18 20:59:50 | ZaaKy | development | httpx | INFO | _client.py:1740 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/users?id=eq.09294a59-4100-4854-bca3-b23bbe390557 "HTTP/1.1 200 OK"
2025-09-18 20:59:51 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/organizations?select=id&limit=1 "HTTP/2 200 OK"
2025-09-18 20:59:51 | ZaaKy | development | httpx | INFO | _client.py:1740 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/users?id=eq.09294a59-4100-4854-bca3-b23bbe390557 "HTTP/1.1 200 OK"
2025-09-18 20:59:51 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/organizations?select=id&limit=1 "HTTP/2 200 OK"
2025-09-18 20:59:52 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/organizations?select=id&limit=1 "HTTP/2 200 OK"
2025-09-18 20:59:52 | ZaaKy | development | httpx | INFO | _client.py:1740 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/users?id=eq.09294a59-4100-4854-bca3-b23bbe390557 "HTTP/1.1 200 OK"
2025-09-18 20:59:52 | ZaaKy | development | httpx | INFO | _client.py:1740 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/users?id=eq.09294a59-4100-4854-bca3-b23bbe390557 "HTTP/1.1 200 OK"
2025-09-18 20:59:52 | ZaaKy | development | apscheduler.executors.default | INFO | base.py:179 | Running job "process_pending_uploads (trigger: interval[0:00:30], next run at: 2025-09-18 21:00:22 CEST)" (scheduled at 2025-09-18 20:59:52.849627+02:00)
2025-09-18 20:59:54 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/uploads?select=%2A&status=eq.pending "HTTP/2 200 OK"
2025-09-18 20:59:54 | ZaaKy | development | apscheduler.executors.default | INFO | base.py:203 | Job "process_pending_uploads (trigger: interval[0:00:30], next run at: 2025-09-18 21:00:22 CEST)" executed successfully
2025-09-18 20:59:54 | ZaaKy | development | httpx | INFO | _client.py:1740 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/organizations?id=eq.21bcca33-a10c-442c-9bc5-7a0208b5928f "HTTP/1.1 200 OK"
2025-09-18 20:59:54 | ZaaKy | development | httpx | INFO | _client.py:1740 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/users?id=eq.09294a59-4100-4854-bca3-b23bbe390557 "HTTP/1.1 200 OK"
2025-09-18 20:59:54 | ZaaKy | development | httpx | INFO | _client.py:1740 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/organizations?id=eq.21bcca33-a10c-442c-9bc5-7a0208b5928f "HTTP/1.1 200 OK"
2025-09-18 20:59:54 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/chatbots?select=%2A&org_id=eq.21bcca33-a10c-442c-9bc5-7a0208b5928f&order=created_at.desc "HTTP/2 200 OK"
2025-09-18 20:59:54 | ZaaKy | development | root | INFO | context_config.py:131 | Getting context config for org 21bcca33-a10c-442c-9bc5-7a0208b5928f
2025-09-18 20:59:55 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/context_engineering_configs?select=%2A&org_id=eq.21bcca33-a10c-442c-9bc5-7a0208b5928f&config_name=eq.default "HTTP/2 200 OK"
2025-09-18 20:59:55 | ZaaKy | development | httpx | INFO | _client.py:1740 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/organizations?id=eq.21bcca33-a10c-442c-9bc5-7a0208b5928f "HTTP/1.1 200 OK"
2025-09-18 20:59:56 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/uploads?select=%2A&org_id=eq.21bcca33-a10c-442c-9bc5-7a0208b5928f&order=created_at.desc "HTTP/2 200 OK"
